"기준연도","행정구역코드","통계항목","통계값"
2024,11140610,"to_in_007",7758
2024,11140610,"to_in_008",8817
2024,11140630,"to_in_001",21980
2024,11140630,"to_in_007",10776
2024,11140630,"to_in_008",11204
2024,11140660,"to_in_001",25219
2024,11140660,"to_in_007",11116
2024,11140660,"to_in_008",14103
2024,11140680,"to_in_001",15625
2024,11140680,"to_in_007",7148
2024,11140680,"to_in_008",8477
2024,11140690,"to_in_001",18398
2024,11140690,"to_in_007",8519
2024,11140690,"to_in_008",9879
2024,11140700,"to_in_001",17227
2024,11140700,"to_in_007",7968
2024,11140700,"to_in_008",9259
2024,11140710,"to_in_001",14451
2024,11140710,"to_in_007",6653
2024,11140710,"to_in_008",7798
2024,11140720,"to_in_001",18410
2024,11140720,"to_in_007",8449
2024,11140720,"to_in_008",9961
2024,11140730,"to_in_001",37450
2024,11140730,"to_in_007",16422
2024,11140730,"to_in_008",21028
2024,11140740,"to_in_001",28979
2024,11140740,"to_in_007",13616
2024,11140740,"to_in_008",15363
2024,11140750,"to_in_001",19662
2024,11140750,"to_in_007",9258
2024,11140750,"to_in_008",10404
2024,11140760,"to_in_001",25265
2024,11140760,"to_in_007",12126
2024,11140760,"to_in_008",13139
2024,11140770,"to_in_001",34948
2024,11140770,"to_in_007",16212
2024,11140770,"to_in_008",18736
2024,11140780,"to_in_001",28011
2024,11140780,"to_in_007",12963
2024,11140780,"to_in_008",15048
2024,11150,"to_in_001",417397
2024,11150,"to_in_007",203140
2024,11150,"to_in_008",214257
2024,11150510,"to_in_001",28723
2024,11150510,"to_in_007",13843
2024,11150510,"to_in_008",14880
2024,11150520,"to_in_001",27383
2024,11150520,"to_in_007",13187
2024,11150520,"to_in_008",14196
2024,11150530,"to_in_001",20234
2024,11150530,"to_in_007",9609
2024,11150530,"to_in_008",10625
2024,11150540,"to_in_001",23354
2024,11150540,"to_in_007",11337
2024,11150540,"to_in_008",12017
2024,11150570,"to_in_001",18712
2024,11150570,"to_in_007",9501
2024,11150570,"to_in_008",9211
2024,11150580,"to_in_001",20052
2024,11150580,"to_in_007",9747
2024,11150580,"to_in_008",10305
2024,11150590,"to_in_001",13904
2024,11150590,"to_in_007",7235
2024,11150590,"to_in_008",6669
2024,11150600,"to_in_001",16619
2024,11150600,"to_in_007",8041
2024,11150600,"to_in_008",8578
2024,11150610,"to_in_001",13447
2024,11150610,"to_in_007",6603
2024,11150610,"to_in_008",6844
2024,11150620,"to_in_001",13304
2024,11150620,"to_in_007",6501
2024,11150620,"to_in_008",6803
2024,11150630,"to_in_001",17923
2024,11150630,"to_in_007",8650
2024,11150630,"to_in_008",9273
2024,11150640,"to_in_001",18732
2024,11150640,"to_in_007",9089
2024,11150640,"to_in_008",9643
2024,11150650,"to_in_001",17903
2024,11150650,"to_in_007",8779
2024,11150650,"to_in_008",9124
2024,11150660,"to_in_001",47603
2024,11150660,"to_in_007",22943
2024,11150660,"to_in_008",24660
2024,11150690,"to_in_001",22662
2024,11150690,"to_in_007",10991
2024,11150690,"to_in_008",11671
2024,11150700,"to_in_001",27037
2024,11150700,"to_in_007",12951
2024,11150700,"to_in_008",14086
2024,11150710,"to_in_001",38481
2024,11150710,"to_in_007",19057
2024,11150710,"to_in_008",19424
2024,11150720,"to_in_001",31324
2024,11150720,"to_in_007",15076
2024,11150720,"to_in_008",16248
2024,11160,"to_in_001",543974
2024,11160,"to_in_007",259852
2024,11160,"to_in_008",284122
2024,11160510,"to_in_001",39882
2024,11160510,"to_in_007",19079
2024,11160510,"to_in_008",20803
2024,11160520,"to_in_001",24398
2024,11160520,"to_in_007",11222
2024,11160520,"to_in_008",13176
2024,11160530,"to_in_001",18447
2024,11160530,"to_in_007",8975
2024,11160530,"to_in_008",9472
2024,11160540,"to_in_001",28207
2024,11160540,"to_in_007",13156
2024,11160540,"to_in_008",15051
2024,11160550,"to_in_001",31710
2024,11160550,"to_in_007",15305
2024,11160550,"to_in_008",16405
2024,11160570,"to_in_001",16621
2024,11160570,"to_in_007",7973
2024,11160570,"to_in_008",8648
2024,11160580,"to_in_001",20111
2024,11160580,"to_in_007",9556
2024,11160580,"to_in_008",10555
2024,11160590,"to_in_001",19023
2024,11160590,"to_in_007",9258
2024,11160590,"to_in_008",9765
2024,11160610,"to_in_001",25130
2024,11160610,"to_in_007",11968
2024,11160610,"to_in_008",13162
2024,11160630,"to_in_001",22536
2024,11160630,"to_in_007",10798
2024,11160630,"to_in_008",11738
2024,11160650,"to_in_001",12976
2024,11160650,"to_in_007",6084
2024,11160650,"to_in_008",6892
2024,11160660,"to_in_001",13443
2024,11160660,"to_in_007",6195
2024,11160660,"to_in_008",7248
2024,11160670,"to_in_001",34297
2024,11160670,"to_in_007",16092
2024,11160670,"to_in_008",18205
2024,11160690,"to_in_001",29283
2024,11160690,"to_in_007",14848
2024,11160690,"to_in_008",14435
2024,11160700,"to_in_001",40389
2024,11160700,"to_in_007",19696
2024,11160700,"to_in_008",20693
2024,11160710,"to_in_001",22267
2024,11160710,"to_in_007",11000
2024,11160710,"to_in_008",11267
2024,11160730,"to_in_001",49602
2024,11160730,"to_in_007",23918
2024,11160730,"to_in_008",25684
