행정기관코드,시군구명,읍면동명,총인구,고령인구,위치코드,전체쉼터수,개방형쉼터수,평균용량,독거노인,고령비율,독거비율,취약도
1129052500,성북구,성북동,15513,3386,1129052500.0,10.0,5.0,23.0,897,0.21826854895893766,0.057822471475536645,0.0370533673565761
1129055500,성북구,삼선동,21574,4531,1129055500.0,18.0,8.0,53.55555555555556,1331,0.21002132196162046,0.0616946324279225,0.026023311419193278
1129057500,성북구,동선동,14889,2370,1129057500.0,11.0,5.0,43.72727272727273,716,0.15917791658271208,0.04808919336422862,-0.7618141185521636
1129058000,성북구,돈암제1동,13651,3417,1129058000.0,10.0,1.0,32.0,873,0.2503113325031133,0.06395135887480771,0.4865943615292557
1129059000,성북구,돈암제2동,22781,4262,1129059000.0,14.0,5.0,36.42857142857143,748,0.18708572933585005,0.03283437952679865,-0.7658201187157541
1129060000,성북구,안암동,15621,2382,1129060000.0,9.0,3.0,24.444444444444443,710,0.15248703668139044,0.04545163561871839,-0.8817626760195931
1129061000,성북구,보문동,15700,2983,1129061000.0,10.0,4.0,62.7,855,0.19,0.05445859872611465,-0.32029439414645067
1129062000,성북구,정릉제1동,17474,3689,1129062000.0,20.0,8.0,35.0,781,0.21111365457250772,0.04469497539201099,-0.28918564528189117
1129063000,성북구,정릉제2동,21445,5292,1129063000.0,12.0,2.0,26.25,1180,0.24677080904639775,0.05502448123105619,0.27846744444228255
1129064000,성북구,정릉제3동,13856,3403,1129064000.0,9.0,4.0,85.11111111111111,946,0.24559757505773672,0.06827367205542725,0.5208016001242646
1129065000,성북구,정릉제4동,23406,5800,1129065000.0,13.0,2.0,37.23076923076923,1466,0.2477997094762027,0.06263351277450227,0.4352726275539143
1129066000,성북구,길음제1동,35307,5392,1129066000.0,20.0,4.0,31.95,1049,0.1527175914124678,0.029710822216557624,-1.1817165920979844
1129068500,성북구,길음제2동,21358,3578,1129068500.0,10.0,5.0,143.0,770,0.16752504916190655,0.03605206480007491,-0.9065779780969054
1129070500,성북구,종암동,36707,8147,1129070500.0,27.0,9.0,56.18518518518518,2096,0.22194676764649796,0.05710082545563516,0.061282320882271625
1129071500,성북구,월곡제1동,24433,5688,1129071500.0,14.0,4.0,116.5,1431,0.23279990177219334,0.05856832971800434,0.2018595039980798
1129072500,성북구,월곡제2동,18413,4277,1129072500.0,20.0,9.0,54.5,1105,0.23228154021615163,0.060011948080160755,0.22421986556982537
1129076000,성북구,장위제1동,22526,4974,1129076000.0,9.0,5.0,47.333333333333336,1469,0.220811506703365,0.06521353103080885,0.2053507452120022
1129077000,성북구,장위제2동,15678,3847,1129077000.0,5.0,2.0,82.0,1120,0.24537568567419313,0.07143768337798188,0.5792765144040288
1129078000,성북구,장위제3동,18710,3148,1129078000.0,10.0,3.0,33.0,653,0.16825227151256014,0.03490112239444147,-0.9211539033246698
1129081000,성북구,석관동,32720,8544,1129081000.0,18.0,8.0,44.72222222222222,2377,0.26112469437652813,0.07264669926650366,0.7655882347082789
1130553400,강북구,삼양동,24226,6183,1130553400.0,11.0,3.0,24.181818181818183,1998,0.2552216626764633,0.08247337571204491,0.8932048647918029
1130553500,강북구,미아동,20128,5465,1130553500.0,8.0,3.0,29.375,1969,0.2715123211446741,0.09782392686804452,1.35674898882834
1130554500,강북구,송중동,27189,7045,1130554500.0,12.0,2.0,20.833333333333332,2002,0.2591121409393505,0.07363271911434771,0.7636861086895996
1130555500,강북구,송천동,22649,6715,1130555500.0,7.0,2.0,26.142857142857142,2355,0.2964810808424213,0.10397810057839198,1.7335202982699776
